Four-Factor Score,NRtg_norm,SRS_norm,W,L,W/L%
0.506059,0.6303541766064111,0.6799396891150242,45.0,37.0,0.549
0.47952,0.5603148236501432,0.5831893776203964,50.0,32.0,0.61
0.120573,0.4902754706938753,0.4353764017258258,41.0,41.0,0.5
0.337761,0.4669290197084526,0.4219388584626831,42.0,40.0,0.512
0.139306,0.3968896667521847,0.4326888930731973,44.0,38.0,0.537
0.157799,0.3968896667521847,0.4703140142099971,47.0,35.0,0.573
0.240402,0.3501967647813395,0.2983134604417696,49.0,33.0,0.598
0.175915,0.1400787059125358,0.1370629412840563,41.0,41.0,0.5
0.25031,0.0700393529562679,0.0967503114946279,44.0,38.0,0.537
-0.184262,-0.2568109608396489,-0.2875634258312554,40.0,42.0,0.488
-0.173655,-0.2801574118250716,-0.3386260902311979,36.0,46.0,0.439
-0.228961,-0.3268503137959168,-0.2983134604417696,34.0,48.0,0.415
-0.408093,-0.3968896667521847,-0.3493761248417121,34.0,48.0,0.415
-0.332081,-0.3968896667521847,-0.4273138757679402,33.0,49.0,0.402
-0.492445,-0.4902754706938753,-0.4703140142099971,33.0,49.0,0.402
-0.12382,-0.4902754706938753,-0.5643768170519965,38.0,44.0,0.463
-0.430549,-0.6770470785772563,-0.6691896545045102,41.0,41.0,0.5
-0.431535,-0.7237399805481016,-0.6745646718097672,38.0,44.0,0.463
-0.524951,-0.7470864315335243,-0.814315121746452,27.0,55.0,0.329
-0.643592,-0.7704328825189468,-0.7740024919570238,35.0,47.0,0.427
-0.55696,-0.9805509413877506,-1.0481283745251362,26.0,56.0,0.317
-0.795475,-1.214015451241977,-1.260441558082792,26.0,56.0,0.317
-1.055195,-1.6342515689795842,-1.6931304511559897,23.0,59.0,0.28
-1.86343,-2.5214167064256445,-2.3945702094920422,21.0,61.0,0.256
1.56681,2.2134666402913297,2.207522066541908,58.0,24.0,0.707
1.323505,1.9278580415440607,1.9246419933443224,67.0,15.0,0.817
1.027257,1.7850537421704271,1.9246419933443224,61.0,21.0,0.744
1.181174,1.261437977800435,1.1949700288346614,49.0,33.0,0.598
1.017489,1.261437977800435,1.3324444569306846,52.0,30.0,0.634
0.834647,1.118633678426801,0.975539691681394,53.0,29.0,0.646
0.877184,0.9996300956154393,0.8803650876149166,50.0,32.0,0.61
0.590523,0.7378222134304432,0.8089841345650585,51.0,31.0,0.622
0.462653,0.4046121815586301,0.4467918913120747,45.0,37.0,0.549
0.218314,0.2380071656227236,0.1612680791126423,47.0,35.0,0.573
0.310779,0.1904057324981788,0.0925308650646308,40.0,42.0,0.488
-0.212551,0.0,0.0634497360443183,42.0,40.0,0.512
0.051137,-0.0952028662490894,0.0,42.0,40.0,0.512
-0.125326,-0.1190035828113618,-0.2114991201477277,41.0,41.0,0.5
-0.164458,-0.1190035828113618,-0.0185061730129261,40.0,42.0,0.488
-0.001366,-0.2142064490604512,-0.2643739001846596,41.0,41.0,0.5
